职位名称,工作地点,部门,招聘负责人,筛选,评估,面试,Offer,待入职,已入职,已终止,在投简历数,面试中人数,已发offer数,已入职数,当前主要阶段,该阶段停留天数,近7天新增简历,健康度,预警原因,上次健康度,岗位优先级,岗位开启日期
AI应用实习生（测试）,南京,Pista Group,陈琳琳,8,0,0,0,0,0,138,8,0,0,0,筛选,3,3,正常,,正常,P2,2026-06-08
高级前端工程师,上海,研发部,王磊,12,3,2,0,0,0,45,17,2,0,0,面试,18,0,预警,7天无新简历；停留18天,预警,P0,2026-05-01
销售总监,北京,销售部,李娜,5,0,0,0,0,0,23,5,0,0,0,筛选,16,0,预警,7天无新简历；停留16天,预警,P0,2026-05-10
产品经理,北京,产品部,张伟,8,2,1,0,0,0,31,11,1,0,0,面试,15,1,预警,停留15天,预警,P1,2026-05-15
市场总监,上海,市场部,赵敏,3,0,0,0,0,0,12,3,0,0,0,筛选,17,0,预警,7天无新简历；停留17天,预警,P1,2026-05-08
测试工程师,南京,研发部,王磊,15,5,3,1,0,0,28,24,3,1,0,Offer,10,2,关注,停留10天；简历偏少,关注,P1,2026-05-20
运营专员,上海,市场部,赵敏,6,2,0,0,0,0,19,8,0,0,0,评估,9,1,关注,停留9天；简历偏少,关注,P1,2026-05-25
HR BP,北京,HR部,陈琳琳,4,1,1,0,0,0,15,6,1,0,0,面试,12,2,关注,简历偏少,关注,P2,2026-05-22
财务经理,上海,财务部,李娜,7,3,2,1,0,0,22,13,2,1,0,Offer,8,1,关注,简历偏少,关注,P2,2026-05-28
UI设计师,南京,产品部,张伟,20,8,5,2,1,0,33,36,5,2,1,待入职,4,4,正常,,正常,P2,2026-05-30
后端工程师,上海,研发部,王磊,18,6,4,1,0,0,41,29,4,1,0,Offer,6,5,正常,,正常,P1,2026-05-18
数据分析师,北京,产品部,张伟,11,4,3,2,1,1,27,21,3,2,1,已入职,3,3,正常,,正常,P2,2026-06-01
算法工程师,上海,研发部,王磊,9,3,2,1,0,0,18,15,2,1,0,Offer,5,4,正常,,正常,P1,2026-06-03
